tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
d__Archaea,Root,rank_0,d__Archaea,Root,d__Archaea,,,,,,
p__Crenarchaeota,d__Archaea,rank_1,p__Crenarchaeota,Root,d__Archaea,p__Crenarchaeota,,,,,
c__Thermoprotei,p__Crenarchaeota,rank_2,c__Thermoprotei,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,,,,
o__Acidilobales,c__Thermoprotei,rank_3,o__Acidilobales,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,,,
f__Acidilobaceae,o__Acidilobales,rank_4,f__Acidilobaceae,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Acidilobaceae,,
g__Acidilobus,f__Acidilobaceae,rank_5,g__Acidilobus,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Acidilobaceae,g__Acidilobus,
s__Acidilobus_sp._7A,g__Acidilobus,rank_6,s__Acidilobus_sp._7A,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Acidilobaceae,g__Acidilobus,s__Acidilobus_sp._7A
s__uncultured_Acidilobus_sp._JCHS,g__Acidilobus,rank_6,s__uncultured_Acidilobus_sp._JCHS,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Acidilobaceae,g__Acidilobus,s__uncultured_Acidilobus_sp._JCHS
f__Caldisphaeraceae,o__Acidilobales,rank_4,f__Caldisphaeraceae,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Caldisphaeraceae,,
g__Caldisphaera,f__Caldisphaeraceae,rank_5,g__Caldisphaera,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Caldisphaeraceae,g__Caldisphaera,
s__Caldisphaera_lagunensis,g__Caldisphaera,rank_6,s__Caldisphaera_lagunensis,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Acidilobales,f__Caldisphaeraceae,g__Caldisphaera,s__Caldisphaera_lagunensis
o__Desulfurococcales,c__Thermoprotei,rank_3,o__Desulfurococcales,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,,,
f__Desulfurococcaceae,o__Desulfurococcales,rank_4,f__Desulfurococcaceae,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,,
g__Aeropyrum,f__Desulfurococcaceae,rank_5,g__Aeropyrum,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Aeropyrum,
s__Aeropyrum_camini,g__Aeropyrum,rank_6,s__Aeropyrum_camini,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Aeropyrum,s__Aeropyrum_camini
g__Desulfurococcus,f__Desulfurococcaceae,rank_5,g__Desulfurococcus,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Desulfurococcus,
s__Desulfurococcus_amylolyticus,g__Desulfurococcus,rank_6,s__Desulfurococcus_amylolyticus,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Desulfurococcus,s__Desulfurococcus_amylolyticus
g__Ignicoccus,f__Desulfurococcaceae,rank_5,g__Ignicoccus,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Ignicoccus,
s__Ignicoccus_islandicus,g__Ignicoccus,rank_6,s__Ignicoccus_islandicus,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Ignicoccus,s__Ignicoccus_islandicus
g__Ignisphaera,f__Desulfurococcaceae,rank_5,g__Ignisphaera,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Desulfurococcales,f__Desulfurococcaceae,g__Ignisphaera,
